[2025-10-22 22:09:37] ✓ Loaded normalization parameters from metadata
[2025-10-22 22:09:37]   Type: minmax
[2025-10-22 22:09:37]   Feature range: [0.0000, 5.9859] (min)
[2025-10-22 22:09:37]   Feature range: [9.3461, 100.0000] (range)
[2025-10-22 22:09:41] Train batches: 18368
[2025-10-22 22:09:41] Val batches: 2296
[2025-10-22 22:09:41] Test batches: 2296
[2025-10-22 22:09:41] Model created: 134,497 parameters
[2025-10-22 22:09:41] ======================================================================
[2025-10-22 22:09:41] Starting training
[2025-10-22 22:09:41] ======================================================================
[2025-10-22 22:11:08] Epoch 1 [4600/18368] Power Loss: 6.0491
[2025-10-22 22:11:08] Epoch 1 [4700/18368] Power Loss: 6.0459
[2025-10-22 22:11:09] Epoch 1 [4800/18368] Power Loss: 6.0409
[2025-10-22 22:11:09] Epoch 1 [4900/18368] Power Loss: 6.0362
[2025-10-22 22:11:09] Epoch 1 [5000/18368] Power Loss: 6.0328
[2025-10-22 22:11:10] Epoch 1 [5100/18368] Power Loss: 6.0294
[2025-10-22 22:11:10] Epoch 1 [5200/18368] Power Loss: 6.0252
[2025-10-22 22:11:10] Epoch 1 [5300/18368] Power Loss: 6.0208
[2025-10-22 22:11:11] Epoch 1 [5400/18368] Power Loss: 6.0174
[2025-10-22 22:11:11] Epoch 1 [5500/18368] Power Loss: 6.0132
[2025-10-22 22:11:11] Epoch 1 [5600/18368] Power Loss: 6.0093
[2025-10-22 22:11:12] Epoch 1 [5700/18368] Power Loss: 6.0053
[2025-10-22 22:11:12] Epoch 1 [5800/18368] Power Loss: 6.0019
[2025-10-22 22:11:13] Epoch 1 [5900/18368] Power Loss: 5.9971
[2025-10-22 22:11:13] Epoch 1 [6000/18368] Power Loss: 5.9921
[2025-10-22 22:11:13] Epoch 1 [6100/18368] Power Loss: 5.9883
[2025-10-22 22:11:14] Epoch 1 [6200/18368] Power Loss: 5.9845
[2025-10-22 22:11:14] Epoch 1 [6300/18368] Power Loss: 5.9804
[2025-10-22 22:11:14] Epoch 1 [6400/18368] Power Loss: 5.9771
[2025-10-22 22:11:15] Epoch 1 [6500/18368] Power Loss: 5.9730
[2025-10-22 22:11:15] Epoch 1 [6600/18368] Power Loss: 5.9689
[2025-10-22 22:11:16] Epoch 1 [6700/18368] Power Loss: 5.9652
[2025-10-22 22:11:16] Epoch 1 [6800/18368] Power Loss: 5.9617
[2025-10-22 22:11:16] Epoch 1 [6900/18368] Power Loss: 5.9580
[2025-10-22 22:11:17] Epoch 1 [7000/18368] Power Loss: 5.9546
[2025-10-22 22:11:17] Epoch 1 [7100/18368] Power Loss: 5.9517
[2025-10-22 22:11:17] Epoch 1 [7200/18368] Power Loss: 5.9474
